ikan,lat,lon,skor,kedalaman,gelombang,geometry
Tenggiri (Scomberomorus commersoni),-7.5,106.5,0.593180411492478,0.0,0.0,POINT (106.5 -7.5)
Tenggiri (Scomberomorus commersoni),-7.5,106.75,0.7758325789516846,0.0,0.0,POINT (106.75 -7.5)
Tenggiri (Scomberomorus commersoni),-7.5,113.0,0.8586298081096341,0.0,0.0,POINT (113 -7.5)
Tenggiri (Scomberomorus commersoni),-7.5,113.25,0.7480949541464594,0.0,0.0,POINT (113.25 -7.5)
Tenggiri (Scomberomorus commersoni),-7.5,113.5,0.7373053268465068,0.0,0.0,POINT (113.5 -7.5)
Tenggiri (Scomberomorus commersoni),-7.25,106.25,0.6798768633516615,0.0,0.0,POINT (106.25 -7.25)
Tenggiri (Scomberomorus commersoni),-7.25,113.5,0.7631743228188381,0.0,0.0,POINT (113.5 -7.25)
Tenggiri (Scomberomorus commersoni),-7.0,105.75,0.5300803621894554,0.0,0.0,POINT (105.75 -7)
Tenggiri (Scomberomorus commersoni),-7.0,106.0,0.6211298784931552,0.0,0.0,POINT (106 -7)
Tenggiri (Scomberomorus commersoni),-6.75,111.75,0.43275727793825447,0.0,0.0,POINT (111.75 -6.75)
Tenggiri (Scomberomorus commersoni),-6.5,110.5,0.5251847132393798,0.0,0.0,POINT (110.5 -6.5)
Tenggiri (Scomberomorus commersoni),-6.0,106.5,0.9609410088115043,0.0,0.0,POINT (106.5 -6)
Tenggiri (Scomberomorus commersoni),-6.0,106.75,0.6465397166296054,0.0,0.0,POINT (106.75 -6)
Tenggiri (Scomberomorus commersoni),-5.75,113.5,0.4826230837141144,0.0,0.0,POINT (113.5 -5.75)
Tenggiri (Scomberomorus commersoni),-5.75,114.75,0.5233051967857847,0.0,0.0,POINT (114.75 -5.75)
Tenggiri (Scomberomorus commersoni),-5.75,115.0,0.5399194290605375,0.0,0.0,POINT (115 -5.75)
Tenggiri (Scomberomorus commersoni),-5.5,113.0,0.5296531946170066,0.0,0.0,POINT (113 -5.5)
Tenggiri (Scomberomorus commersoni),-5.5,115.0,0.6037775687410666,0.0,0.0,POINT (115 -5.5)
Tenggiri (Scomberomorus commersoni),-5.25,115.0,0.4845786193338321,0.0,0.0,POINT (115 -5.25)
