ikan,lat,lon,skor,kedalaman,gelombang,geometry
Cakalang (Katsuwonus pelamis),-3.75,113.5,0.3153839707374573,0.0,0.0,POINT (113.5 -3.75)
Cakalang (Katsuwonus pelamis),-3.75,113.75,0.3922649919986725,0.0,0.0,POINT (113.75 -3.75)
Cakalang (Katsuwonus pelamis),-3.75,114.0,0.4144945442676544,0.0,0.0,POINT (114 -3.75)
Cakalang (Katsuwonus pelamis),-3.75,114.25,0.39253097772598267,0.0,0.0,POINT (114.25 -3.75)
Cakalang (Katsuwonus pelamis),-3.75,114.5,0.44105076789855957,0.0,0.0,POINT (114.5 -3.75)
Cakalang (Katsuwonus pelamis),-3.5,106.0,0.3259933888912201,0.0,0.0,POINT (106 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,111.75,0.3285125494003296,0.0,0.0,POINT (111.75 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,112.0,0.3864167332649231,0.0,0.0,POINT (112 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,112.25,0.3338942229747772,0.0,0.0,POINT (112.25 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,112.5,0.3333859145641327,0.0,0.0,POINT (112.5 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,112.75,0.32019007205963135,0.0,0.0,POINT (112.75 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,113.0,0.3232095539569855,0.0,0.0,POINT (113 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,113.25,0.3427378833293915,0.0,0.0,POINT (113.25 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,113.5,0.41509056091308594,0.0,0.0,POINT (113.5 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,113.75,0.5914552211761475,0.0,0.0,POINT (113.75 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,114.0,0.42548301815986633,0.0,0.0,POINT (114 -3.5)
Cakalang (Katsuwonus pelamis),-3.5,114.25,0.4437302350997925,0.0,0.0,POINT (114.25 -3.5)
Cakalang (Katsuwonus pelamis),-3.25,111.5,0.2911653518676758,0.0,0.0,POINT (111.5 -3.25)
Cakalang (Katsuwonus pelamis),-3.25,111.75,0.3107896149158478,0.0,0.0,POINT (111.75 -3.25)
Cakalang (Katsuwonus pelamis),-3.25,113.0,0.29797911643981934,0.0,0.0,POINT (113 -3.25)
Cakalang (Katsuwonus pelamis),-3.25,113.25,0.3106197416782379,0.0,0.0,POINT (113.25 -3.25)
Cakalang (Katsuwonus pelamis),-3.25,113.5,0.3315139412879944,0.0,0.0,POINT (113.5 -3.25)
Cakalang (Katsuwonus pelamis),-3.0,110.25,0.29162946343421936,0.0,0.0,POINT (110.25 -3)
Cakalang (Katsuwonus pelamis),-3.0,110.5,0.2945300042629242,0.0,0.0,POINT (110.5 -3)
Cakalang (Katsuwonus pelamis),-3.0,111.25,0.3107326030731201,0.0,0.0,POINT (111.25 -3)
Cakalang (Katsuwonus pelamis),-3.0,111.5,0.3117077052593231,0.0,0.0,POINT (111.5 -3)
Cakalang (Katsuwonus pelamis),-3.0,111.75,0.30121049284935,0.0,0.0,POINT (111.75 -3)
Cakalang (Katsuwonus pelamis),-2.75,106.75,0.30996859073638916,0.0,0.0,POINT (106.75 -2.75)
Cakalang (Katsuwonus pelamis),-2.0,110.0,0.29897642135620117,0.0,0.0,POINT (110 -2)
Tenggiri (Scomberomorus commersoni),-7.75,106.25,0.3459605574607849,0.0,0.0,POINT (106.25 -7.75)
Tenggiri (Scomberomorus commersoni),-7.75,106.5,0.37367087602615356,0.0,0.0,POINT (106.5 -7.75)
Tenggiri (Scomberomorus commersoni),-7.75,106.75,0.4547213315963745,0.0,0.0,POINT (106.75 -7.75)
Tenggiri (Scomberomorus commersoni),-7.75,107.0,0.4911103844642639,0.0,0.0,POINT (107 -7.75)
Tenggiri (Scomberomorus commersoni),-7.75,107.25,0.6113735437393188,0.0,0.0,POINT (107.25 -7.75)
Tenggiri (Scomberomorus commersoni),-7.75,107.5,0.6990758776664734,0.0,0.0,POINT (107.5 -7.75)
Tenggiri (Scomberomorus commersoni),-7.75,107.75,0.7826966643333435,0.0,0.0,POINT (107.75 -7.75)
Tenggiri (Scomberomorus commersoni),-7.75,113.25,0.39300453662872314,0.0,0.0,POINT (113.25 -7.75)
Tenggiri (Scomberomorus commersoni),-7.75,113.5,0.37756049633026123,0.0,0.0,POINT (113.5 -7.75)
Tenggiri (Scomberomorus commersoni),-7.75,113.75,0.359226793050766,0.0,0.0,POINT (113.75 -7.75)
Tenggiri (Scomberomorus commersoni),-7.5,106.25,0.35785242915153503,0.0,0.0,POINT (106.25 -7.5)
Tenggiri (Scomberomorus commersoni),-7.5,106.5,0.4404430389404297,0.0,0.0,POINT (106.5 -7.5)
Tenggiri (Scomberomorus commersoni),-7.5,106.75,0.48016607761383057,0.0,0.0,POINT (106.75 -7.5)
Tenggiri (Scomberomorus commersoni),-7.5,113.0,0.5406692028045654,0.0,0.0,POINT (113 -7.5)
Tenggiri (Scomberomorus commersoni),-7.5,113.25,0.4888388514518738,0.0,0.0,POINT (113.25 -7.5)
Tenggiri (Scomberomorus commersoni),-7.5,113.5,0.44269245862960815,0.0,0.0,POINT (113.5 -7.5)
Tenggiri (Scomberomorus commersoni),-7.25,106.25,0.4187122583389282,0.0,0.0,POINT (106.25 -7.25)
Tenggiri (Scomberomorus commersoni),-7.25,113.5,0.4917680323123932,0.0,0.0,POINT (113.5 -7.25)
Tenggiri (Scomberomorus commersoni),-7.0,105.75,0.34354764223098755,0.0,0.0,POINT (105.75 -7)
Tenggiri (Scomberomorus commersoni),-7.0,106.0,0.36644724011421204,0.0,0.0,POINT (106 -7)
Tenggiri (Scomberomorus commersoni),-6.75,111.75,0.3443076014518738,0.0,0.0,POINT (111.75 -6.75)
Tenggiri (Scomberomorus commersoni),-6.5,110.5,0.3501928448677063,0.0,0.0,POINT (110.5 -6.5)
Tenggiri (Scomberomorus commersoni),-6.0,106.5,0.5822557210922241,0.0,0.0,POINT (106.5 -6)
Tenggiri (Scomberomorus commersoni),-6.0,106.75,0.4850034713745117,0.0,0.0,POINT (106.75 -6)
Tenggiri (Scomberomorus commersoni),-5.75,113.5,0.3445887565612793,0.0,0.0,POINT (113.5 -5.75)
Tenggiri (Scomberomorus commersoni),-5.75,114.75,0.34583428502082825,0.0,0.0,POINT (114.75 -5.75)
Tenggiri (Scomberomorus commersoni),-5.75,115.0,0.34972861409187317,0.0,0.0,POINT (115 -5.75)
Tenggiri (Scomberomorus commersoni),-5.5,113.0,0.3433767557144165,0.0,0.0,POINT (113 -5.5)
Tenggiri (Scomberomorus commersoni),-5.5,115.0,0.3510955274105072,0.0,0.0,POINT (115 -5.5)
Tenggiri (Scomberomorus commersoni),-5.25,115.0,0.34865620732307434,0.0,0.0,POINT (115 -5.25)
Tenggiri (Scomberomorus commersoni),-5.0,115.0,0.34474238753318787,0.0,0.0,POINT (115 -5)
Tenggiri (Scomberomorus commersoni),-4.0,106.0,0.4984924793243408,0.0,0.0,POINT (106 -4)
Tenggiri (Scomberomorus commersoni),-3.75,106.0,0.45568761229515076,0.0,0.0,POINT (106 -3.75)
Tenggiri (Scomberomorus commersoni),-3.75,111.75,0.3469386696815491,0.0,0.0,POINT (111.75 -3.75)
Tenggiri (Scomberomorus commersoni),-3.75,112.0,0.35377541184425354,0.0,0.0,POINT (112 -3.75)
